"z_id","address","lat","long","price","saledate","pricepersqft","beds","baths","sqft","acres","yr_built"
"zpid_124783875","34-Kriste-Ln-Jericho-VT-05465",44.506897,-72.965844,315000,"4/8/16",NA,4,3,NA,6.55,1974
"zpid_92295971","67-Barrett-St-South-Burlington-VT-05403",44.458726,-73.176776,283000,"4/8/16",117,3,3.5,2400,0.000769605167332867,1970
"zpid_92005851","344-Lower-Sanborn-Rd-Stowe-VT-05672",44.504547,-72.747312,975000,"4/8/16",NA,NA,NA,NA,2.94,NA
"zpid_54211758","249-Fairway-Dr-South-Burlington-VT-05403",44.435085,-73.173088,496000,"4/8/16",NA,NA,NA,NA,0.32,NA
"zpid_90140797","160-Stockbridge-Rd-Charlotte-VT-05445",44.295353,-73.224011,635000,"4/8/16",NA,NA,NA,NA,5.92,NA
"zpid_2099706940","36-Lavoie-Dr-Essex-Junction-VT-05452",44.485876,-73.132736,315500,"4/8/16",122,3,3,2586,NA,2005
"zpid_2141173743","35-Brickyard-Rd-UNIT-15-Essex-Junction-VT-05452",44.492156,-73.096214,164900,"4/8/16",154,2,1.5,1064,NA,1983
"zpid_75434869","42-Tilley-Dr-Swanton-VT-05488",44.928332,-73.209663,261400,"4/8/16",NA,NA,NA,NA,0.59,NA
"zpid_92263434","457-Broadlake-Rd-Colchester-VT-05446",44.541468,-73.282695,640000,"4/7/16",267,3,3,2394,1.58,1960
"zpid_92046016","18-High-St-Ludlow-VT-05149",43.397395,-72.698302,255000,"4/7/16",147,4,2,1723,9681430215.37856,1890
"zpid_92280295","1955-Colchester-Point-Rd-Colchester-VT-05446",44.55072,-73.301847,295000,"4/7/16",NA,NA,NA,NA,NA,NA
"zpid_92257614","31-Vale-Dr-South-Burlington-VT-05403",44.435296,-73.186577,561900,"4/7/16",139,4,3,4020,0.29,2002
"zpid_92255558","13-Arlington-St-Essex-Junction-VT-05452",44.492426,-73.103151,215000,"4/7/16",143,3,1,1500,0.26,1948
"zpid_123975933","238-Fox-Run-Colchester-VT-05446",44.5429,-73.20296,323000,"4/7/16",NA,NA,NA,NA,NA,NA
"zpid_92280153","12-Woods-End-Dr-Essex-Junction-VT-05452",44.486477,-73.092573,328000,"4/7/16",163,4,2.5,2004,0.8,1985
"zpid_92291828","112-Colonial-Dr-Colchester-VT-05446",44.504931,-73.198414,269900,"4/7/16",132,3,2.5,2040,0.36,1993
"zpid_81614857","92-Buck-Hollow-Rd-Fairfax-VT-05454",44.67942,-73.015504,165000,"4/7/16",82,3,1,2012,0.83,1967
"zpid_92288108","198-Norway-Dr-Colchester-VT-05446",44.546891,-73.262965,245900,"4/7/16",185,3,2,1329,0.81,1978
"zpid_98359456","115-Bay-Rd-Colchester-VT-05446",44.552671,-73.189019,775000,"4/7/16",159,4,5,4863,3.2,2012
"zpid_2098928078","308-S-Winooski-Ave-UNIT-4-Burlington-VT-05401",44.47091,-73.21049,250000,"4/6/16",185,2,3,NA,NA,NA
"zpid_92042976","95-Clark-Ave-Brattleboro-VT-05301",42.840998,-72.55976,162000,"4/6/16",158,2,1,1023,0.26,1946
"zpid_75485396","287-Clinton-St-Springfield-VT-05156",43.28458,-72.471516,22000,"4/6/16",NA,0,0,0,0.189990817263545,0
"zpid_91996144","99-Bond-Ln-Dorset-VT-05251",43.245414,-73.103749,225000,"4/6/16",204,2,1,1100,20,1988
"zpid_92289131","62-W-Spring-St-Winooski-VT-05404",44.495115,-73.188607,420000,"4/6/16",168,8,4,2493,19340980461.4761,1900
"zpid_92297715","32-Iranistan-Rd-Burlington-VT-05401",44.463469,-73.205031,435000,"4/6/16",298,3,1.5,1456,0.000723474771474275,1941
"zpid_92245709","95-Twin-Oaks-Ter-South-Burlington-VT-05403",44.451301,-73.168851,155000,"4/6/16",NA,2,1,NA,NA,1981
"zpid_75432349","10-Nicole-Dr-Saint-Albans-VT-05478",44.803093,-73.10506,59900,"4/6/16",NA,NA,NA,NA,NA,NA
"zpid_92248162","352-North-Ave-Burlington-VT-05401",44.490525,-73.227092,292500,"4/6/16",128,4,1,2274,0.3,1910
"zpid_92289131","62-W-Spring-St-Winooski-VT-05404",44.495115,-73.188607,420000,"4/6/16",168,8,4,2493,19340980461.4761,1900
"zpid_2099069524","2-Deer-Street-Winhall-VT-05340",43.172079,-72.920047,141500,"4/5/16",94,4,2,NA,NA,NA
"zpid_2099069792","4026-Main-Street-Manchester-VT-05254",43.167552,-73.067713,6e+05,"4/5/16",193,2,2,NA,NA,NA
"zpid_92002408","11-Hill-Rd-South-Hero-VT-05486",44.646687,-73.302651,220000,"4/5/16",NA,NA,NA,NA,1.5,NA
"zpid_2101053495","13-River-St-Winooski-VT-05404",44.492972,-73.193194,260000,"4/5/16",136,6,2,1900,1427686850.36501,1900
"zpid_118893816","195-Shermans-Ln-Bristol-VT-05443",44.089156,-73.084199,180000,"4/5/16",257,NA,1,700,10.4,2010
"zpid_2099082909","5874-Route-9-Marlboro-VT-05344",42.85881,-72.77359,140000,"4/4/16",81,3,2,NA,NA,NA
"zpid_92030560","30-Church-St-East-Barre-VT-05649",44.158814,-72.452334,117800,"4/4/16",NA,3,1,NA,73266.3443755739,1961
"zpid_92041551","984-Western-Ave-Brattleboro-VT-05301",42.854596,-72.60117,38590,"4/4/16",30,2,2,1280,507990480.759642,1890
"zpid_75483793","189-Dutton-District-Rd-Springfield-VT-05156",43.250781,-72.502508,88000,"4/4/16",NA,NA,NA,NA,0.75,NA
"zpid_92277840","28-Derby-Cir-South-Burlington-VT-05403",44.450462,-73.159798,289000,"4/4/16",NA,2,2.5,NA,0.000516758934770432,1986
