"z_id","address","lat","long","price","beds","baths","sqft","acres","yr_built"
"zpid_81746785","486-Birch-Hill-Rd-Shaftsbury-VT-05262",43.007987,-73.203887,489000,4,3,3904,10,2002
"zpid_2098863363","449-High-Mdw-Danby-VT-05739",43.128095,-72.893126,385500,3,3,3100,9.01,1996
"zpid_92256629","42-Valley-View-Dr-Milton-VT-05468",44.610717,-73.169483,419900,4,3,2735,1.4,1995
"zpid_81624811","98-Wildflower-Ln-Bristol-VT-05443",44.165189,-73.115372,318500,4,2.5,2240,2.1,2005
"zpid_75467230","15-Ewing-St-Montpelier-VT-05602",44.263409,-72.567074,230000,3,NA,1476,NA,1900
"zpid_75457205","216-Linda-Dr-Rutland-VT-05701",43.635274,-72.959997,249900,3,3,2770,1,1968
"zpid_81602541","809-Pierce-Hill-Rd-Sutton-VT-05867",44.672594,-72.017514,349500,4,2,2700,28,2005
"zpid_2098829897","24-26-S-Maple-Vergennes-VT-05491",44.166517,-73.252109,224900,0.5,NA,NA,NA,1880
"zpid_2098828263","326-White-Brook-Rd-Sharon-VT-05065",43.790961,-72.477883,229000,3,2,1656,NA,1982
"zpid_2098828500","2931-Route-18-Waterford-VT-05819",44.3661,-72.0391,340000,3,2,2055,5,1974
"zpid_2098849661","0-Burke-Hollow-Rd-Burke-VT-05832",44.60133,-71.940486,80000,NA,NA,NA,20,NA
"zpid_75415430","622-Meehan-Rd-Bristol-VT-05443",44.171112,-73.042823,349900,3,2,1948,23,1987
"zpid_75436345","3429-Rice-Hill-Rd-Franklin-VT-05457",44.939205,-72.907954,225000,3,1.5,1692,2.3,2001
"zpid_75413580","485-Quaker-St-Lincoln-VT-05443",44.112623,-72.998452,349000,3,2,1917,1.3,1900
"zpid_92010139","271-N-Main-St-Bradford-VT-05033",43.998816,-72.125338,279000,5,2,3174,1.1,1836
"zpid_2098845165","59-A-2-Jersey-Ct-A-2-Morristown-VT-05661",44.556702,-72.605647,279000,3,3,2606,NA,2005
"zpid_115812481","765-Baxter-Mtn-Rd-Sharon-VT-05065",43.794664,-72.458253,229000,3,2,2094,4.64,2006
"zpid_118894629","118-Dane-Rd-Sheffield-VT-05866",44.600736,-72.117943,159000,3,2,1680,1.5,1980
"zpid_75443527","36-Highland-Ave-Randolph-VT-05060",43.917957,-72.661405,235000,5,2,2699,0.29,1910
"zpid_92040026","162-Mountain-View-Rd-Wilmington-VT-05363",42.86626,-72.816378,248000,6,3,2300,0.69,1976
"zpid_115789281","12-Kibbe-Point-Rd-South-Hero-VT-05486",44.647057,-73.28228,590000,5,4,3880,6.3,1851
"zpid_2140589975","2-Sandy-Cv-Grand-Isle-VT-05458",44.752332,-73.288781,989000,3,3,3000,1.4,2015
"zpid_2102052458","Breezy-Hill-Acres-LOT-12-Monkton-VT-05473",44.24859,-73.20227,1e+05,NA,NA,NA,2.35,NA
"zpid_2102052455","Breezy-Hill-Acres-LOT-10-Monkton-VT-05473",44.24859,-73.20227,95000,NA,NA,NA,2.33,NA
